from_id,from_name,to_id,to_name,line,time
1,소요산,2,동두천,1,4
2,동두천,3,보산,1,3
3,보산,4,동두천중앙,1,2
4,동두천중앙,5,지행,1,2
5,지행,6,덕정,1,3
6,덕정,7,덕계,1,2
7,덕계,8,양주,1,3
8,양주,9,녹양,1,2
9,녹양,10,가능,1,2
10,가능,11,의정부,1,2
11,의정부,12,회룡,1,3
12,회룡,13,망월사,1,2
13,망월사,14,도봉산,1,2
14,도봉산,15,도봉,1,2
15,도봉,16,방학,1,2
16,방학,17,창동,1,2
17,창동,18,녹천,1,2
18,녹천,19,월계,1,2
19,월계,20,광운대,1,2
20,광운대,21,석계,1,2
21,석계,22,신이문,1,2
22,신이문,23,외대앞,1,2
23,외대앞,24,회기,1,2
24,회기,25,청량리,1,2
25,청량리,26,제기동,1,2
26,제기동,27,신설동,1,2
27,신설동,28,동묘앞,1,2
28,동묘앞,29,동대문,1,2
29,동대문,30,종로5가,1,2
30,종로5가,31,종로3가,1,2
31,종로3가,32,종각,1,2
32,종각,33,서울역,1,2
33,서울역,34,남영,1,2
34,남영,35,용산,1,3
35,용산,36,노량진,1,3
36,노량진,37,대방,1,2
37,대방,38,신길,1,2
38,신길,39,영등포,1,2
39,영등포,40,신도림,1,2
40,신도림,41,구로,1,2
41,구로,42,구일,1,2
42,구일,43,개봉,1,2
43,개봉,44,오류동,1,2
44,오류동,45,온수,1,2
45,온수,46,역곡,1,3
46,역곡,47,소사,1,3
47,소사,48,부천,1,3
48,부천,49,중동,1,2
49,중동,50,송내,1,2
50,송내,51,부개,1,2
51,부개,52,부평,1,3
52,부평,53,백운,1,2
53,백운,54,동암,1,2
54,동암,55,간석,1,2
55,간석,56,주안,1,3
56,주안,57,도화,1,2
57,도화,58,제물포,1,2
58,제물포,59,도원,1,2
59,도원,60,동인천,1,3
60,동인천,61,인천,1,2
41,구로,62,가산디지털단지,1,2
62,가산디지털단지,63,독산,1,2
63,독산,64,금천구청,1,2
64,금천구청,65,석수,1,2
65,석수,66,관악,1,2
66,관악,67,안양,1,3
67,안양,68,명학,1,2
68,명학,69,금정,1,2
69,금정,70,군포,1,3
70,군포,71,당정,1,2
71,당정,72,의왕,1,2
72,의왕,73,성균관대,1,3
73,성균관대,74,화서,1,2
74,화서,75,수원,1,2
75,수원,76,세류,1,2
76,세류,77,병점,1,2
77,병점,78,세마,1,3
78,세마,79,오산대,1,2
79,오산대,80,오산,1,2
80,오산,81,진위,1,3
81,진위,82,송탄,1,2
82,송탄,83,서정리,1,2
83,서정리,84,평택지제,1,3
84,평택지제,85,평택,1,3
85,평택,86,성환,1,3
86,성환,87,직산,1,2
87,직산,88,두정,1,2
88,두정,89,천안,1,2
89,천안,90,봉명,1,2
90,봉명,91,쌍용,1,2
91,쌍용,92,아산,1,2
92,아산,93,배방,1,3
93,배방,94,온양온천,1,2
94,온양온천,95,신창,1,2
101,시청,102,을지로입구,2,2
102,을지로입구,103,을지로3가,2,2
103,을지로3가,104,을지로4가,2,2
104,을지로4가,105,동대문역사문화공원,2,2
105,동대문역사문화공원,106,신당,2,2
106,신당,107,상왕십리,2,2
107,상왕십리,108,왕십리,2,2
108,왕십리,109,한양대,2,2
109,한양대,110,뚝섬,2,2
110,뚝섬,111,성수,2,2
111,성수,112,건대입구,2,2
112,건대입구,113,구의,2,2
113,구의,114,강변,2,2
114,강변,115,잠실나루,2,2
115,잠실나루,116,잠실,2,2
116,잠실,117,신천,2,2
117,신천,118,종합운동장,2,2
118,종합운동장,119,삼성,2,2
119,삼성,120,선릉,2,2
120,선릉,121,역삼,2,2
121,역삼,122,강남,2,2
122,강남,123,교대,2,2
123,교대,124,서초,2,2
124,서초,125,방배,2,2
125,방배,126,사당,2,2
126,사당,127,낙성대,2,2
127,낙성대,128,서울대입구,2,2
128,서울대입구,129,봉천,2,2
129,봉천,130,신림,2,2
130,신림,131,신대방,2,2
131,신대방,132,구로디지털단지,2,2
132,구로디지털단지,133,대림,2,2
133,대림,134,신도림,2,2
134,신도림,135,문래,2,2
135,문래,136,영등포구청,2,2
136,영등포구청,137,당산,2,2
137,당산,138,합정,2,2
138,합정,139,홍대입구,2,2
139,홍대입구,140,신촌,2,2
140,신촌,141,이대,2,2
141,이대,142,아현,2,2
142,아현,143,충정로,2,2
143,충정로,101,시청,2,2
111,성수,144,용답,2,2
144,용답,145,신답,2,2
145,신답,146,용두,2,2
146,용두,147,신설동,2,2
134,신도림,148,도림천,2,2
148,도림천,149,양천구청,2,2
149,양천구청,150,신정네거리,2,2
150,신정네거리,151,까치산,2,2
201,대화,202,주엽,3,3
202,주엽,203,정발산,3,2
203,정발산,204,마두,3,2
204,마두,205,백석,3,2
205,백석,206,대곡,3,3
206,대곡,207,화정,3,3
207,화정,208,원당,3,3
208,원당,209,원흥,3,2
209,원흥,210,삼송,3,2
210,삼송,211,지축,3,3
211,지축,212,구파발,3,2
212,구파발,213,연신내,3,3
213,연신내,214,불광,3,2
214,불광,215,녹번,3,2
215,녹번,216,홍제,3,2
216,홍제,217,무악재,3,2
217,무악재,218,독립문,3,2
218,독립문,219,경복궁,3,2
219,경복궁,220,안국,3,2
220,안국,221,종로3가,3,2
221,종로3가,222,을지로3가,3,2
222,을지로3가,223,충무로,3,2
223,충무로,224,동대입구,3,2
224,동대입구,225,약수,3,2
225,약수,226,금호,3,2
226,금호,227,옥수,3,2
227,옥수,228,압구정,3,3
228,압구정,229,신사,3,2
229,신사,230,잠원,3,2
230,잠원,231,고속터미널,3,2
231,고속터미널,232,교대,3,2
232,교대,233,남부터미널,3,2
233,남부터미널,234,양재,3,3
234,양재,235,매봉,3,2
235,매봉,236,도곡,3,2
236,도곡,237,대치,3,2
237,대치,238,학여울,3,2
238,학여울,239,대청,3,2
239,대청,240,일원,3,2
240,일원,241,수서,3,2
241,수서,242,가락시장,3,3
242,가락시장,243,경찰병원,3,2
243,경찰병원,244,오금,3,2
301,당고개,302,상계,4,2
302,상계,303,노원,4,2
303,노원,304,창동,4,2
304,창동,305,쌍문,4,2
305,쌍문,306,수유,4,2
306,수유,307,미아,4,2
307,미아,308,미아사거리,4,2
308,미아사거리,309,길음,4,2
309,길음,310,성신여대입구,4,2
310,성신여대입구,311,한성대입구,4,2
311,한성대입구,312,혜화,4,2
312,혜화,313,동대문,4,2
313,동대문,314,동대문역사문화공원,4,2
314,동대문역사문화공원,315,충무로,4,2
315,충무로,316,명동,4,2
316,명동,317,회현,4,2
317,회현,318,서울역,4,2
318,서울역,319,숙대입구,4,2
319,숙대입구,320,삼각지,4,2
320,삼각지,321,신용산,4,2
321,신용산,322,이촌,4,2
